S1 - Result - Streamlined Enrolled - Card 1 Body,"If your student has SNAP or Colorado Works (TANF), your Summer EBT will be loaded on the existing SNAP or TANF card on that date.","If your student has SNAP or Colorado Works (TANF), your Summer EBT will be loaded on the existing SNAP or TANF card on that date.","Si su estudiante tiene SNAP o Colorado Works (TANF), sus beneficios de Summer EBT se cargarán en la tarjeta de SNAP o TANF que ya tiene en esa fecha.","Si tu estudiante tiene SNAP o Colorado Works (TANF), sus beneficios de Summer EBT se cargarán en la tarjeta de SNAP o TANF que ya tiene en esa fecha.",
S1 - Result - Streamlined Enrolled - Card 2 Title,Do you have other children in your household?,Do you have other children in your household?,¿Tiene otros hijos en su grupo familiar?,¿Tiene otros hijos en su hogar?,
S1 - Result - Streamlined Enrolled - Card 2 Body,"To check if you need to submit a Summer EBT application for any other school-age children in your household, please provide their information by clicking on the button below.","To check if you need to submit a Summer EBT application for any other school-age children in your household, please provide their information by clicking on the button below.","Para verificar si necesita presentar una solicitud de Summer EBT para algún otro menor en edad escolar de su grupo familiar, proporcione su información haciendo clic en el botón a continuación.","Para verificar si necesita presentar una solicitud de Summer EBT para algún otro menor en su hogar que está en edad escolar, proporciona su información haciendo clic en el botón a continuación.",
S1 - Result - Streamlined Enrolled - Card 2 Action,Check another child,Check another child,Revisar otro(a) niño(a),Revisar otro(a) niño(a),
S1 - Result - Streamlined Enrolled - Steps Heading,Next steps,Next steps,próximos pasos,próximos pasos  ,
S1 - Result - None - Body 1,We don't have enough information for the following children.,We don't have enough information for the following children.,No tenemos suficiente información para los siguientes niños,No tenemos suficiente información para los siguientes niños,
S1 - Result - None - Body 2,We recommend logging into the Summer EBT portal to confirm if they are automatically enrolled.,We recommend logging into the Summer EBT portal to confirm if they are automatically enrolled.,Recomendamos iniciar sesión en el portal de Summer EBT para confirmar si estan automaticamente inscritos.,Recomendamos iniciar sesión en el portal de Summer EBT para confirmar si están automaticamente inscritos.,
S1 - Result - Error - Title,Something went wrong on our end,Something went wrong on our end,,,
S1 - Result - Error - Body,We aren’t able to able to share enrollment information for your children. You may try to check again later or continue with these next steps.,We aren’t able to able to share enrollment information for your children. You may try to check again later or continue with these next steps.,,,
S2 - Log In Disclaimer - Title,Access the Summer EBT portal,Log in to your Summer EBT account,Accede a tu cuenta de Summer EBT,Inicia sesión en tu cuenta de Summer EBT,
S2 - Log In Disclaimer - Log In Disclaimer - Body 1,"After tapping ""Log in"" you'll be redirected to log in using your myColorado® account. If you don't have a account, you'll be able to create one using your name, email address, phone number, and date of birth.","You can use the same login you use to access PEAK. Also, if you don't have an account, you can create one using your email address.","Después de tocar “Iniciar sesión”, se te redirigirá para entrar con tu cuenta de myColorado®. Si no tienes una cuenta, podrás crearla usando tu nombre, correo electrónico, número de teléfono y fecha de nacimiento.","Puedes usar el mismo inicio de sesión que utilizas para acceder al portal de PEAK. Si no tienes una cuenta, puedes crear una. ",
S2 - Log In Disclaimer - Log In Disclaimer - Body 2,Contact us if you need assistance logging in.,Contact us if you need assistance logging into your account.,Contáctanos si necesitas ayuda para iniciar sesión en tu cuenta.,Contáctanos si necesitas  ayuda para iniciar sesión en su cuenta. ,
S2 - Log In Disclaimer - Log In Disclaimer - Body 3,Summer EBT Call Center.,Summer EBT Call Center.,línea de servicio al cliente de la Summer EBT.,línea de servicio al cliente de Summer EBT.,
S2 - Portal Dashboard - Alert Address Updated,Your mailing address has been updated,Your mailing address has been updated,Tu dirección ha sido actualizada,Tu dirección ha sido actualizada,
S2 - Portal Dashboard - Alert Address Title,"A replacement for the card[s] ending in [[9999], [9999], and [9999],] will be sent to the following address","A replacement for the card[s] ending in [[9999], [9999], and [9999],] will be sent to the following address","Las tarjeta terminadas en [[9999], [9999], y [9999], van a ser remplazadas y enviadas a la siguiente dirección","Las tarjeta terminadas en [[9999], [9999], y [9999], van a ser remplazadas y enviadas a la siguiente dirección",
S2 - Portal Dashboard - Alert Address Body,New cards usually arrive in your mailbox within 7–10 business days. Check back here in 1–2 business days to see your updated card details.,New cards usually arrive in your mailbox within 7–10 business days. Check back here in 1–2 business days to see your updated card details.,Las tarjetas nuevas generalmente llegan por correo en un plazo de 7 a 10 días hábiles. Vuelve a consultar aquí en 1 a 2 días hábiles para ver la información actualizada de tu tarjeta.,Las tarjetas nuevas generalmente llegan por correo en un plazo de 7 a 10 días hábiles. Vuelve a consultar aquí en 1 a 2 días hábiles para ver la información actualizada de tu tarjeta.,
